category,name,year_founded,stage,raised_m,employees,reg_number,website,description
ADAS & Safety,ARTsys360,2013,Initial Revenues,4.0,15,514907617,https://www.artsys360.com,"ARTsys360 is developing Anti drone system with an innovative Radar system to be deployed in restricted perimeters and compounds such as Airports, prisons, nuclear plants, water reservoir, energy stations, hotels stadiums and communications facilities which deliver the resources that are central to o"
General Automotive Tech,DriveU.auto,2019,Initial Revenues,4.0,27,516090842,https://driveu.auto,"The DriveU.auto Teleoperation Connectivity Platform enables safe teleoperation of robots, autonomous vehicles, and more, using cellular bonding and dynamic encoding. The platform is already deployed and in use on public roads and provides high speed, low latency, ultra-reliable transmission of video"
Mapping & Navigation,IPGallery,2000,Revenue Growth,3.9,17,512899410,https://www.ipgallery.com,"IPgallery delivers holistic, modular, integrative, IoT-based, value-added services and solutions for CSPs, enterprises, governments, and cities. IPgallery's solutions include systems for resiliency, safe and smart cities, transportation, air and water quality, flood monitoring, public safety, homela"
EV & Clean Energy,Pi-Harvest,2006,R&D,3.5,10,514681782,http://www.pi-harvest.com,Pi-Harvest was suggesting a principally new technology based on Piezoelectric Micro Generator (Power Harvester) harnessing natural power from mechanical movement. It suggested no battery and life long device functioning.
Fleet & Logistics,Ovo Automotive,2019,R&D,3.5,6,515994838,https://ovo.auto,"OVO Automotive is a B2B SaaS company providing car fleet businesses like mobility players, fleet owners and car dealers full and remote control over their connected vehicle screens, driving in-vehicle customer ownership and enablement. Unlike solutions that run apps on the vehicle or on mirrored pho"
2W/3W,Rider Dome,2021,Initial Revenues,3.3,20,,https://www.riderdome.com,Rider Dome is a Computer Vision AI based collision alert system providing motorcycle riders with real-time alerts against critical threats on the road to prevent accidents before they happen.
Fleet & Logistics,t42,1999,Revenue Growth,3.1,40,513608943,https://www.starcomsystems.com,"t42 IoT Tracking Solutions plc (AIM: TRAC), formerly Starcom Systems plc, provides real-time tracking, analysis, monitoring and security IoT solutions for the global container and freight market and covers 55 countries, over 100 distributors and 50 logistics and support partners."
EV & Clean Energy,SiliB,2019,R&D,3.1,7,516233673,https://www.si-lib.com,Silib is developing and scaling up the manufacturing of Li-ion battery technology which can increase the battery capacity by up to 40% while maintain the same form factor.
Components & Manufacturing,Tour Engine,2006,Initial Revenues,3.014,12,514341858,https://www.tourengine.com,Tour Engine is developing a revolutionary opposed-cylinder split-cycle internal combustion engine that increases the engine efficiency by over 50% and drastically reduces emissions; based on standard cylinder/piston technology. The company designed and built an operating split-cycle TourEngine™ prot
ADAS & Safety,RadSee,2017,R&D,3.0,15,515663409,https://radsee.com,RadSee developed the first 4D imaging radar for the automotive industry delivering outstanding performance AND low cost. The radar’s unique architecture uses off-the-shelf components and patented technology to provide industry-leading performance and the flexibility to fit into existing Tier 1 and O
Components & Manufacturing,Greenkote,1999,Revenue Growth,2.9,20,512778119,http://www.greenkote.com,"Greenkote is the developer of a patented corrosion-blocking, thermal diffusion coating technology – the Greenkote® process. This process is eco-friendly, involving no solvents, heavy metals or acids. Greenkote coatings find many applications in automotive parts, rubber-to-metal molding, mining, oil/"
General Automotive Tech,SafeFields,2021,Initial Revenues,2.8,8,516441052,https://www.safefields-tech.com,"SafeFields presents a novel technology that reduces exposure to electromagnetic radiation, emitted by electric drive systems in all different modes of the vehicle, including idling, driving at different speeds and accelerating and decelerating. The company's system measures the magnetic field in rea"
ADAS & Safety,Anachoic,2018,R&D,2.3,9,515877884,https://www.anachoic.com,Anachoic specializes in the development of Advanced Rider Assistance Systems (ARAS) for the Powered Two-Wheeler market. The company’s micro-radar platform provides riders with real-time 360◦ protection via its patented spatial audio HMI.
General Automotive Tech,ioTen,2011,Initial Revenues,2.0,15,514699701,https://ioten.co,"IoTen/Coffee provides actionable business insights by analyzing empirical data from coffee machines, from all branch locations, from any existing type and any brand of coffee machine.
 With data from millions of coffee cups brewed, the algorithms can uniquely identify operational issues."
Smart Cities & Mobility,RunEL,2015,Initial Revenues,2.0,20,512743618,https://www.runel.net,RunEL is carving its way to be a technology leader in the 5G mobile wireless revolution. The company vision is: “to improve life experience by connecting people and things using superior technology” and its mission is to: “introduce the revolutionary Sparq-2020 chipset for 5G infrastructure that wil
General Automotive Tech,Trackimo,2013,Revenue Growth,2.0,39,,https://trackimo.com,"Trackimo is an IoT (Internet of Things) solution provider with proprietary technology, enabling worldwide connectivity for M2M (Machine to Machine) devices. The company aspires to transform business models through the development of customizable radio frequency mobile technology solutions that are e"
General Automotive Tech,Incentives Solutions,2002,Revenue Growth,1.5,100,513129312,http://www.incentives-solutions.com,"Incentives Solutions provides cloud based Incentives & Commission Management platforms to help companies achieve their maximum business potential through enhanced focus on sales achievements, simplified processes and increased control over budgets. Through comprehensive practices, simulation tools a"
Fleet & Logistics,Enigmatos,2017,R&D,1.5,13,515312825,https://www.enigmatos.com,"Enigmatos' system studies the unique characteristics of each vehicle in the fleet and produces a unique profile for it through machine learning. After that, the company's system monitors the messages in the CAN network in real time and compares them to the profile. When Enigmatos' system detects a d"
Components & Manufacturing,Griiip,2015,Initial Revenues,1.5,24,515321966,https://www.griiip.com,"Griiip has developed a cloud-based data platform that enables the transmission of motorsport data directly from the racing car and then both analyses and visualizes it in the cloud.
 The solution includes direct access to raw data from the vehicle electronic units through a hardware component, the R"
General Automotive Tech,Whilx,2023,R&D,1.5,5,516995115,https://www.whilx.tech,"Whilx is developing an add-on autonomous system for adaptive optimization of the tire pressure in real time, ensuring that the contact are of the tire with the road is always optimal."
ADAS & Safety,SaferPlace,2011,Initial Revenues,1.3,13,514589472,https://saferplace.com,"SaferPlace helps police and law enforcement agencies to detect non-conventional, high-risk traffic violations. The improvement of traffic enforcement increases road safety, reduces dangerous driving and prevents serious or fatal injury to pedestrians. For municipalities, Safer Place technology offer"
Smart Cities & Mobility,VizibleZone,2019,Initial Revenues,1.2,6,515959716,https://www.vizible.zone,"Viziblezone is on a mission to turn mobile phones into life-saving devices. The company promotes a new Phone to Everything (P2X) concept, which offers a proven potential for various life-guarding applications, driven by context-sensitive data collected and processed by roaming mobile phones. One of "
Components & Manufacturing,Vootto,2018,Initial Revenues,1.07,12,515739688,https://vootto.com,"Wise Smoker (Vootto) is a manufacturer of a car air purifier intended to eliminate all types of smoke from the vehicle. The company's purifier operates through a 4-stage filtration system and has engine blades that provide powerful suction, enabling users to eliminate pollutants from the air and dis"
Smart Cities & Mobility,i4drive,2014,Initial Revenues,1.05,6,515108264,https://i4drive.com,i4drive develops an AI software for fully connected autonomous vehicles. The company's patent-pending Multi-layered technology comprises real-time sensor data processing for better autonomous decisions and driving analytics. i4drive’s software-based solutions can be integrated with different hardwar
Components & Manufacturing,Remote Energy,2021,R&D,1.05,8,516487154,https://remot.energy,"Remote Energy’s developments utilize electric field charging, a solution that enhances cost-effectiveness, employs lightweight and compact components and grants exceptional freedom to drivers and operators."
Fleet & Logistics,Bringoz,2016,Initial Revenues,1.0,35,515317360,https://www.bringoz.com,"Bringoz is a technology platform for logistics management, streamlining the logistics processes in general and the last-mile in particular, Bringoz provides its customers with a robust infrastructure enabling them to compete in today's demand-driven landscape."
Smart Cities & Mobility,RoadSense,2019,Initial Revenues,1.0,8,515984631,https://www.roadsense.tech,"RoadSense enhances traffic safety, helps to reduce car accidents and provides technological infrastructure to all types of vehicles by using sustainable energy."
Components & Manufacturing,Agam Energy,1998,Initial Revenues,0.9,10,512515586,http://agam-greenhouses.com/,"Agam develops and manufactures innovative, energy-conserving and environmentally friendly dehumidification, heating and cooling systems. Agam’s solutions serve the needs of horticultural and agricultural industries, including nurseries and recently developed medical cannabis industries in greenhouse"
General Automotive Tech,Rubidium,1995,Initial Revenues,0.8,25,512089129,http://www.rubidium.com,"Rubidium is a recognized innovator of embedded Speech Processing solutions that cover the entire scope of Voice User Interface (VUI): speech recognition (ASR), speech synthesis (TTS) and Always-on Voice Triggering, to mention a few. Rubidium is on the front line of today's hottest technology trends:"
Fleet & Logistics,Revoltz,2021,R&D,0.65,7,516356870,https://revoltzev.com,"Revoltz develops and potentially commercializes EV-based micro-mobility vehicles for urban and last mile logistics transportation, under a JV between Medigus and EMuze."
Components & Manufacturing,IBC Coating,1996,Initial Revenues,0.4,70,512363862,https://www.ibccoatings.com,"IBC’s expertise is in surface engineering, providing advanced surface treatment technologies for wear resistant, corrosion resistant applications and fatigue of tools and components. The company's innovative surface treatments are based on low pressure plasma and thermo-chemical reactions.
 
 IBC in"
Fleet & Logistics,OfficeTrack,2000,Initial Revenues,0.33,40,512908971,https://officetrack.com,"OfficeCore is a leading software company that develops, markets and delivers cellular location based SaaS solutions, and SMSCenter software messaging gateway services. OfficeCore solutions and services are offered both to mobile operators/services providers and business customers. OfficeCore's locat"
Components & Manufacturing,MEA Testing,1998,Initial Revenues,0.3,13,512558669,https://meatesting.net,"MEA is focusing on advanced electronic and processing capabilities. With joint cooperation from local industries, MEA has developed a new patent-pending technology for testing electrical machines. This platform extends to include testing of all types of different electrical motors, their components "
Smart Cities & Mobility,Pixtier,2010,Initial Revenues,0.3,5,514473024,https://www.pixtier.com,"Pixtier is a platform providing professional 3D map processing software for drones. Pixtier's SaaS solution allows users to produce high quality 3D maps from simple aerial photographs automatically. The technology is based on proprietary image processing and computer vision algorithms, enabling fast"
General Automotive Tech,Gorilla Link,2019,Initial Revenues,0.12,5,516051398,https://www.gorilla.link,"GorillaLink is a Satellite IoT connectivity company offering a Platform‑as‑a‑Service that virtualizes satellite networks to deliver always‑on device connectivity “any industry, anytime, anywhere.” Their offering spans edge‑to‑cloud communications and vertical solutions such as automotive, smart grid"
ADAS & Safety,AD Knight,2018,R&D,0.1,8,515898567,https://www.ad-knight.com,"AD Knight solution improves pedestrian safety in obscured and low visibility scenarios, where common ADAS systems often fail to detect. With 360˚ coverage, AD Knight sensors detect pedestrians’ personal devices, estimate their distance from the vehicle, and therefore enhance and complement the ADAS "
Fleet & Logistics,SafeMode,2016,Initial Revenues,0.06,15,515575066,https://www.safemode.co,"SafeMode’s cloud-based solution enhances fleets’ safety and efficiency by shifting the focus to the driver. With a unique behavioral AI platform, it enables fleets and mobility services to provide fundamental values to their drivers, leading to proactive modification of their driving behavior."
Components & Manufacturing,LogiTag,2004,Initial Revenues,0.05,20,513512830,https://logi-tag.com,"LogiTag develops, manufactures, and markets intelligent, best-in-class RFID solutions and systems for tracking, monitoring, and managing inventory, assets, and people. LogitTag identified a growing need for advanced RFID technology with applications in healthcare, security, and enterprise. LogiTag’s"
Fleet & Logistics,MyRouteOnline,2009,Initial Revenues,,10,514676618,https://www.myrouteonline.com,"MyRouteOnline is a web-based Route Planner, for route planning multiple stops online. With 20 years of experience in vehicle routing and scheduling business, the company's algorithm automatically calculates all possible routes and gives an optimized and efficient route for different types of users. "
Components & Manufacturing,RB Systems,1995,Initial Revenues,,10,,http://www.rb-sys.com,R.B Systems Ltd. was founded by Mr. Doron Mishor for the development and manufacture of advanced electronic products which have since become well respected in residential and commercial industry. Over the years R.B Systems has gained a worthy reputation in 'state of the art' electronic technology. T
Fleet & Logistics,Parknav,2011,Initial Revenues,,10,516411816,https://parknav.com,"Parknav's solution offers easy integration and high quality performance for automotive OEMs, fleet management companies, telematics solutions and location based services. It uses artificial intelligence to know where there is open on-street parking in real-time."
Fleet & Logistics,ISR,1986,Revenue Growth,,10,560009516,https://isrtransit.com,"ISR Corporation is well recognized as a pioneer in the mapping and tracking industry. From its start in 1986, ISR Corporation has installed custom fleet management systems for governmental and commercial customers world-wide, including the Executive Office of the President of the United States, the "
ADAS & Safety,Makalu Optics,2019,R&D,,10,516082096,https://www.makaluoptics.com,"Makalu Optics is a disruptive leader in vision technology, specializing in advanced lidar platforms for 3D perception. The company's mission is to tackle life-saving, seemingly impossible vision challenges with innovative systems. Makalu's solutions are deployed across homeland security, large infra"
Components & Manufacturing,Tortech,2011,R&D,,10,514527761,https://www.tortechnano.com,Tortech has an exclusive license to use the patented technology developed at the Cambridge University for the manufacturing of continuous Carbon Nano Tube (CNT) fibers and non-woven mats with superior physical properties directly from gas phase reaction. In contrary to many other manufacturers which
Components & Manufacturing,TamiCare,2001,R&D,,10,514134964,https://www.tamicare.com,"Tamicare manufactures 3D printing machinery to print fabrics. The product can be used to create finished textile products. It company caters to sportswear, wearable, fashion, medical, hygiene, cosmetics, interior, footwear and automotive industry."
Components & Manufacturing,Virtual Extension,2000,Initial Revenues,,10,512840448,http://www.virtual-extension.com,"Virtual Extension develops and manufactures wireless networks for IoT / M2M applications. These include smart lighting control (street, highway and indoor), smart metering (electricity, water, gas and hybrid), as well as similar industrial, security and automotive applications that require robust an"
Fleet & Logistics,Steerlinq,2025,Initial Revenues,,12,,https://steerlinq.com,SteerLinq is the remote-control / vehicle-conversion division of A.T.M. Automotive Tech Mobility within the Shagrir Group. The unit develops and integrates retrofit kits that convert conventional vehicles (light military vehicles up to heavy trucks and tracked platforms) into remotely-operable or un
Components & Manufacturing,Dan-Tech Energy,2011,Initial Revenues,,12,513336479,http://www.danenergy.com,"Dan-Tech Energy specializes in the development of portable, rechargeable battery power systems, which are designed and manufactured for superior run times, reliability, durability, safety and ease of use. With a proven track of technical excellence, Dan-Tech has become an outstanding manufacturer in"
ADAS & Safety,DYM Sense,2018,R&D,,15,516385531,https://www.dymsense.com,"DYM Sense is revolutionizing vehicle safety with advanced, non-invasive alcohol detection technology. This cutting-edge solution accurately measures a driver's blood alcohol level with a simple touch, seamlessly integrating into vehicle controls like the start button or steering wheel. The system in"
General Automotive Tech,JpU.IO,2015,Initial Revenues,,15,,http://www.jpu.io,"JpU develops a robust, purpose-built mobile core network for Enterprise Private 4G/5G services and for Global Enterprises and SPs. The JpU HyperCore platform, a 4G/5G Network, simplifies management of complex cellular networks, with IT friendly experience, delivers built-in security for all connecte"
Fleet & Logistics,EVEdge,2018,Initial Revenues,,17,515889855,https://evedge.co.il,"EVEdge is offering a variety of solutions for charging electric vehicles. The company's solutions are adapted to all potential sectors: private customers who buy an electric vehicle, employers who include electric vehicles in their vehicle fleet, businesses who wish to offer charging services to the"
2W/3W,Cardo,2004,Revenue Growth,,180,513363101,https://www.cardosystems.com,"Cardo Systems delivers cutting-edge Communication devices for groups in motion. Connecting motorcycle riders, outdoor enthusiasts, and adventure seekers to their phone, their music, and to each other. Cardo launched the world’s first motorcycle Bluetooth-based wireless intercom headset in 2004 and h"
Cybersecurity,CyMotive,2016,Revenue Growth,,190,515486629,https://www.cymotive.com,"Cymotive develops cyber security solutions for original equipment manufacturers and automotive suppliers. The company specializes in automotive security solutions through a holistic offensive-defensive approach, catering to autonomous and semi-autonomous cars with an internet connection."
Mapping & Navigation,Charging Robotics,2021,R&D,,2,516333671,https://www.chargingrobotics.com,"Charging Robotics develops various products based on wireless charging. A robotic system for wireless charging of EV. Once parked, the driver will initiate charging by use of a simple smart phone app. The autonomous robot will navigate under the vehicle and automatically charge it. By use of the rob"
Components & Manufacturing,Isra-Juk Electronics,1999,R&D,,2,512880477,http://www.israjuk.com,"Isra-Juk Electronics aims to manufacture & sell smart systems that detect electricity faults (wiring & equipment) - in buildings, automotive systems, factories and aircrafts. In addition, the company is developing the Mains-Ranger(TM) products which address the issues of: energy-waste on electrical-"
Components & Manufacturing,Sital,1993,Initial Revenues,,20,512441148,http://www.sitaltech.com,"Sital Technology develops products and expertise for communication bus applications in the avionics, aerospace and automotive industries. Sital embeds its vast experience and proficiency in its products which include the widely used Mil-Std-1553 and ARINC 429 IP cores, components, boards and testers"
Components & Manufacturing,Noam Urim,1976,Initial Revenues,,20,511901621,https://noam-urim.com,"Noam Urim is a leader in the manufacture of needle-punched nonwoven fabrics. Noam Urim processes polyester, polypropylene, and viscose fibers to produce its range of super-absorbent needle-punched wipes. The company offers a variety of fabrics with different features for applications such as dry cle"
Components & Manufacturing,ELTAM Ein Hashofet,1967,Revenue Growth,,200,550001374,https://www.eltam-eh.co.il/en,"ELTAM Ein Hashofet is a leading designer and manufacturer of advanced systems for lighting. A designer of energy efficient solutions for indoor, outdoor and agricultural lighting. Eltam is a one-stop-shop for energy efficient and intelligent street lighting systems. Eltam offers a package of LED dri"
Fleet & Logistics,EDT,1988,Revenue Growth,,22,511295131,http://www.e-drivetech.com,"E-Drive Technology is a manufacturer and provider of smart fleet management, fuel management, and telematic solutions for the automotive industry. EDT develops its own proprietary hardware, firmware, and management software products in an integrated development environment."
General Automotive Tech,Mobius Protection Systems,2000,Initial Revenues,,24,514258631,https://www.mobius-ps.com,"Mobius Protection Systems is a company of Energy Absorbing solutions for armored vehicles, eVTOL's, aircraft's and Naval vessels. The company offers solutions and range of systems are focused on simplicity, innovation and flawless performance. Mobius's seat solutions are designed to provide performa"
Smart Cities & Mobility,Deeyook,2019,Initial Revenues,,25,515634277,https://www.deeyook.com,"Deeyook offers precise location-as-a-service through its patented wireless-based firmware solution that is self-learning, ubiquitous, ultra-precise, passive and low power, allowing indoor and outdoor position determination."
Fleet & Logistics,Aeroshela,2017,R&D,,3,511079139,http://www.aeroshela.kd.co.il,"Aeroshela is a company engaged in development of Hydrogen IC engine. Hydrogen is one of the essential elements for tackling the climate crisis and the possibility to embrace it can only serve the world for a better future. 
 Hydrogen is the most abundant element on Earth is safe to use, found practi"
Components & Manufacturing,MicroAssembly,2000,Initial Revenues,,3,512896085,https://mat-ltd.com,"MAT is a Die Attach and Dispensing equipment manufacturer specializing in providing machines and turn-key solutions for most advanced die attach and dispensing applications The MAT machines perform Eutectic and/or Adhesive based applications for complex Multi Chip Modules, Imaging devices, Sensors, "
General Automotive Tech,Olive Engineering,2005,Initial Revenues,,3,513916635,https://www.olive-eng.co.il,"Olive Engineering specializes in designing unique solutions involving helicopters for search and rescue missions. The company is focused primarily on R&D and business development activities. In addition, the company has developed an IP strategy and is covered by patent pending applications which cov"
Fleet & Logistics,GoTech Vision,2013,Initial Revenues,,3,514863356,https://www.gotechvision.com,"GoTech Vision has developed Genesys, a Generic Solution for Physical Security Information Management including: Advanced events managing and real time alerts, Interactive maps and GIS, Automated rules and actions, Seamless integration with Video and Analytics, Access Control, Intruder detection, Fir"
General Automotive Tech,Proactive 4 SCM,2010,Initial Revenues,,3,514549948,http://www.proactive4.com,Proactive 4 SCM's mission is to provide a BPM suite which enables customer's across a variety of industrial sectors to access BPM disciplines and meet the management challenge of wide continual business process improvement. Proactive 4 provides organizations with the capability of understanding thei
Components & Manufacturing,Xi,1968,Initial Revenues,,3,510496532,https://mobilinx.wixsite.com/website,"Xi Information Processing Systems has established itself as a chief developer, manufacturer and marketer of assorted vehicle tracking and navigation, GIS & data communications products and systems. Xi systems are field proven and incorporate mobile Geographic Information Systems (GIS) and data commu"
Components & Manufacturing,Smart Films,2013,Initial Revenues,,3,514938018,https://www.smartfilmsinternational.com,Smart Films International (“SFI”) is an international developer and manufacturer of Smart Film and Glass Solutions for Privacy on demand and Solar Control. The company's products are based on a proprietary NCAP-PDLC technology and Smart Films supports Architecture and Automotive industries. The comp
Mapping & Navigation,Parkings,2016,Initial Revenues,,3,515537637,https://parkings.co.il,"ParKings Holdings is all about finding advanced transportation solutions in the modern life urban environment. ParKings allows control, enforcement and management of parking resources in the big cities. ParKings is the first managing system for the street's parking that integrates the old world and "
Cybersecurity,CipherSiP,2018,Initial Revenues,,3,515863157,https://ciphersip.com,"CipherSiP is the only company that increases the bandwidth over existing protocols and protects vehicles from cyber attacks without changing the original protocols and Standards (i.e. CAN, CAN-FD/XL, LIN, SCADA). The company's novel approach uses Watermarked Communications™ Technology to create an i"
Fleet & Logistics,Armory Defense,2023,Initial Revenues,,30,516797800,https://armorydefense.com,"Armory Defense offers organizations a sophisticated and proactive offensive approach that returns control to organizations and ensures continuous improvement in the organization's level of defense and cyber resilience. The company's solution is smart, automated, focused, does not involve an addition"
Components & Manufacturing,SolidRun,2011,Initial Revenues,,30,514505379,https://www.solid-run.com,"SolidRun is a global leading developer of embedded systems and network solutions, focused on a wide range of energy-efficient, powerful, and flexible products. The company's innovative compact embedded solutions are based on ARM and x86 architecture and offer a variety of platforms, including SOMs ("
Fleet & Logistics,ERM Advanced Telematics,1985,Initial Revenues,,30,511100471,http://www.ermtelematics.com,"ERM Advanced Telematics is an international technology company focused on automotive solutions, whose technologies and products are installed in more than 5 million vehicles worldwide. The company's solutions are based on a range of wireless technologies, including all available cellular generations"
Components & Manufacturing,Redler Technologies,1994,Initial Revenues,,30,512052077,https://www.redlertechnologies.com,"Redler specializes in the developing and marketing Electrical power and motion management solutions for the industrial, automotive, and defense industries. 
 Their advanced, innovative, embedded and patented DC motion control drivers and smart power circuit breakers will help keeping platforms in mo"
Components & Manufacturing,Gnrgy,2008,Initial Revenues,,30,514140995,https://www.gnrgy.com,"Gnrgy provides Electric Vehicle Infrastructure and Charging Network Management. Gnrgy develops and manufactures energy efficiency solutions for home users, enterprises and energy providers."
Components & Manufacturing,KappaSense,2012,Initial Revenues,,30,514759505,http://www.kappasense.com,"Kappasense is a designer & Manufacturer of Absolute Capacitive Linear encoders, seeking to make a significant contribution to its customers by offering a better solution for today’s applications. Owning Multiple active patents in the field of capacitive sensing, KP’s unique linear capacitive technol"
Components & Manufacturing,NOVO DR,2014,Initial Revenues,,33,515013241,https://www.novo-dr.com,"NOVO DR Ltd. is a leading developer & manufacturer of cutting edge portable, flat-panel, digital X-ray inspection systems for the Security, Non- Destructive Testing (NDT), science and art sectors. Combining decades of experience and intensive R&D while working with the world's most prominent compani"
Components & Manufacturing,Inex Zamir,2006,Initial Revenues,,34,511798589,https://inextechnologies.com,"Inex Technologies Designs, Develops and Manufactures Automatic License Plate Recognition (ALPR) Camera Solutions & Intelligent Software for Vehicle Identification. The Inex Technologies ALPR Camera Solutions accurately capture license plate data as well as customized information from passing vehicle"
Smart Cities & Mobility,Road Protect,2011,Initial Revenues,,34,515053726,http://www.roadprotect.co.il,Road Protect provides services of administrative management systems for businesses and individuals in the field of managing collection procedures for traffic violations. The service includes an online platform assisting drivers to understand how and when to contest a traffic tickets. This provides a
Cybersecurity,Aurislink,2003,Initial Revenues,,4,513654772,http://www.aurislink.com,"Aurislink is a technology company specializing in deep learning and signal processing. Focus on acoustic sound detection and localization. The company leverages advanced algorithms capable of responding to various blast sounds, positioning itself as a provider of security and safety solutions throug"
EV & Clean Energy,LiGenerate,2025,R&D,,4,517119632,https://www.ligenerate.com,"LiGenerate is pioneering in material repurposing, enabling the creation and own of a new category in urban mining (battery recycling) and mining in general. The company’s unique process enables efficient and cost-effective recycling of lithium batteries. LiGenerate's innovative approach significantl"
Components & Manufacturing,ScanMaster,1985,Revenue Growth,,40,512563792,https://scanmaster-irt.com,"ScanMaster Systems is a fully integrated company which develops, manufactures and markets ultrasonic products. These products include UT instrumentation, UT inspection & imaging systems and transducers. Solutions are available for a multitude of environments including laboratories and production fac"
Fleet & Logistics,Pass Drive,2022,R&D,,5,516618915,https://pass-drive.com,"Pass Drive has developed an AI-based system and protection solution that works through innovative biometric identification and integration with a unique application that enables a new level of vehicle protection of all types, protection of motorcycles and scooters and various means of transportation"
General Automotive Tech,NOVAlert,2020,R&D,,5,516342151,https://www.novalert.com,"NOVAlert IVS (Intelligent Vehicular Solutions) is building a safer future with LifeGuard™, a bio-monitoring platforms that surpass traditional camera-based systems and other competing solutions. LifeGuard™ utilizes contactless seat sensors (SENSeat™) and seatbelt tags (SMARTag™) to monitor drivers, "
Fleet & Logistics,OptiWays.io,2017,Initial Revenues,,5,515898971,https://www.optiways.io,OptiWays has developed an AI powered next generation route optimization solution based on a breakthrough algorithmic approach that involves multiple processing algorithms aiming to solve the challenge of optimizing first & middle-mile supply chain distribution processes
Fleet & Logistics,DriveTech,2025,Seed,,5,517185500,https://shieldpro.drivetech360.com,"DriveTech connects the world of HT to the world of automobiles. Its technology restores security and peace of mind to fleet owners, drivers and road users."
Smart Cities & Mobility,Greenspot,2014,Initial Revenues,,5,515746824,http://joingreenspot.com,"Greenspot works with municipalities and landlords to implement innovative and smart electric mobility solutions. Greenspot provides custom tailored services and solutions that suppose to revolutionize the way people commute – making it more economical, sustainable, efficient and reliable."
EV & Clean Energy,mobiXtron,2024,Seed,,5,,https://mobixtron.com,"mobiXtron develops fuel-agnostic (AnyFuel) power generation solutions, delivering efficient and reliable off-grid energy. The company's technology supports data centers, EV charging stations, military applications and more, ensuring energy independence without reliance on the traditional grid. By ha"
General Automotive Tech,Motoro,2023,R&D,,5,,https://www.motoro-security.com,"Motoro's innovative anti-theft product features advanced sensors and communication and provides a social application and standalone module for car security that sends an alarm to the relevant people. The company's solutions, comprising advanced sensors and communication technology, are designed to e"
Smart Cities & Mobility,ShareRoute,2015,R&D,,5,515265718,https://shareroute.com,"ShareRoute is developing an application/platform that brings flexibility, responsiveness, and a new level of efficiency to public and private transportation. Shareroute offers rides-on-demand, both by pre-order (hours, days, months, in advance) and in real-time. ShareRoute optimizes routing and vehi"
EV & Clean Energy,PNY,2020,R&D,,5,516501095,https://www.ridepny.com,"PNY develops Ponie, an electric scooter with several features. Its battery is located under the cargo storage box that helps maintain a low center of gravity; the scooter has a high driving range; strong engine power with an immediate torque of the electric motor that should help with sufficient acc"
General Automotive Tech,Skyer,2014,Initial Revenues,,5,515305944,https://www.skyermotors.com,"Skyer Motors Technologies brings years of R&D experience from leading high-tech companies. Leveraging diverse backgrounds, the team behind Skyer develops products with innovative structures and systems to deliver optimal solutions for the world’s needs. Services encompass the full product lifecycle,"
General Automotive Tech,AirLift One,2017,R&D,,5,,http://www.airlift-one.com,"AirLift One, at the intersection of aerodynamics, autonomy, and electric propulsion, is changing personal aviation, in order to move people and goods with vastly superior performance, and unlock unprecedented value for governments, businesses, and consumers. AirLift One enables users to travel 5 tim"
Smart Cities & Mobility,InCarEye,2019,R&D,,5,516701984,http://incareye.com,"InCarEye provides a comprehensive and innovative technological solution to distraction on the roads, while driving, thereby helping to reduce the volume of traffic accidents worldwide. The company's technology, which combines built-in AI artificial intelligence systems with a video analytics sensor,"
Components & Manufacturing,Beam Semiconductor,2015,R&D,,5,515239028,http://beamshaping.io,"Beam Semiconductor is a developer of millimeter-wave radio frequency silicon and antenna technology, designed for wireless infrastructure applications. The company's technology utilizes analog beam-steering radio-frequency electronics that allow the antenna to automatically shape and steer the beam "
Smart Cities & Mobility,Roboway,2011,R&D,,5,514668839,http://www.semantipedia.com,Semanipedia develops AI-based algorithms and systems for solving challenging problems. RoboWay is a recent Semantipedia's project solving acute problem of reducing highway traffic jams.
EV & Clean Energy,TurbWind,2020,R&D,,5,,,TurbWind provides a system with a mini-air turbine yielding high power compliance and performance for recycling airflow to charge the battery in vehicles under optimal conditions. The company's unique system embodies special turbine and air ducts that increase the vehicle’s resistance only when this
EV & Clean Energy,Grivo,2020,R&D,,5,516376266,https://grivo.co.il,Grivo’s mission is to help electric car owners to locate convenient charging stations via its foolproof app. Its takes the time to get to know the users' car personally and matches relevant charging stations to maximize its benefits and maintain its mint condition.
Mapping & Navigation,Mobilinx,2000,Initial Revenues,,5,514124973,https://mobilinx.wixsite.com/website,"Smart Car, of Xi’s group, provides Intelligent Transportation Systems (ITS) and Intelligent Vehicle Systems (IVS) for personal, business and security applications. Smart Car systems are a spin off of Xi's military technology and are field proven. It offers a family of field proven commercial product"
EV & Clean Energy,NRG Spring,2012,R&D,,5,,https://www.nrgspring.com,"NRG Spring has developed a proprietary technology that provides a storage system for a variety of applications, ranging from short-term grid stabilizers to long-term bulk energy storage to portable battery replacement. The company’s system can store any type of energy in hydraulic batteries (accumul"
ADAS & Safety,Electric Vehicle Evolution (Athena),2014,R&D,,5,,https://intelligent-vehicle-systems.com,"Electric Vehicle Evolution (EVE) is a US-based developer of next generation electric vehicles and automated driving technology. The Advanced Driver Assistance Systems (ADAS) installed in EVE vehicles will assist drivers in keeping their distance from cars in front of and behind them, provide drivers"
