name,stage,employees,raised,year_founded,tech_vertical,reg_number,website,description
SolidT,Pre-Seed,1-10,$1.65M,2023,"Automotive, Deep Tech",516779261,https://www.solidt-tech.com,"SolidT is pioneering next-generation solid-state heat pump technology, delivering active cooling and heating from the chip level through modules to entire systems. By combining cooling and heating in a single compact solution, SolidT eliminates the need for compressors and complex mechanical systems"
SOLRA-PV,Seed,1-10,$1M,,,,,
SP Nano,B,1-10,$9.85M,2007,"Automotive, SpaceTech",514036342,http://www.spnano.com,"SP Nano is the developer of SP1 - a revolutionary nano-reinforcement protein agent that will transform the composite materials and rubber industries by enabling the production of lighter, stronger and sustainable parts. SP Nano is commercializing the use of carbon-based nanoparticles in the rapidly "
Spectralics,Pre-Seed,1-10,$2.85M,,,,,
Spetrotec,Mature,11-50,Undisclosed,1989,"Automotive, IoT",511431918,https://www.spetrotec.com,"Spetrotec designs, develops and sells IoT electronics, online tracking systems and monitoring solutions. The company’s flagship software solution is Mabat-Online, a real-time monitoring and diagnostic system. Spectrotec's other products, which are integrated within the advanced iWatcher brand, inclu"
StoreDot,D,51-200,$200M,2012,"Automotive, Climate Tech, Deep Tech",514820117,https://www.store-dot.com,"StoreDot is a manufacturer of batteries and lithium-ion components designed for electric cars. The company offers XFC (Extreme Fast Charging) batteries for electric vehicles by combining nano-structural materials with organic and inorganic compounds and proprietary electrolytes, utilizing artificial"
SUNSET,Mature,1-10,Undisclosed,,,,,
Supergum,Mature,11-50,Undisclosed,,,,,
Tabor Electronics,Mature,51-200,Undisclosed,1971,"Automotive, Defense Tech, Quantum Technology, SpaceTech",510573157,https://www.taborelec.com,"Tabor Electronics has become a world-leading provider of high-end signal sources, featuring: RF, pulse, function and arbitrary waveform generators/transceivers, high-voltage amplifiers, waveform and modulation creation software. Tabor has earned global recognition for its highly skilled workforce an"
Tactile Mobility,C,11-50,$36M,2011,"Artificial Intelligence, Automotive, Big Data, IoT, Machine Learning, Smart City",514681972,https://tactilemobility.com,"Tactile Mobility is an automotive software company, focused on harnessing tactile data to enhance vehicle-road interaction. Through its advanced virtual sensing technology, the company leverages existing vehicle sensors to provide real-time analysis, employing AI and machine learning to gain insight"
Tag A Time,Mature,1-10,Undisclosed,,,,,
TakeOver,Pre-Seed,1-10,Undisclosed,,,,,
Tasq,Seed,11-50,$4M,,,,,
Tech360,Mature,1-10,Undisclosed,,,,,
Telcon,Mature,11-50,Undisclosed,,,,,
Tervizio,Seed,1-10,Undisclosed,2020,"Artificial Intelligence, Automotive",516426350,https://tervizio.com,"Tervizio is a developer of 3D imaging for the automotive industry, intending to improve safety. The company utilizes thermal energy to optimize 3D laser imaging detection and ranging technology at the pixel level to provide any range of resolution, thus enabling clients with obstacle detection and a"
TGL S.P.,Mature,11-50,Undisclosed,,,,,
Therma Sphera,Seed,1-10,$55K,,,,,
ThermoSiv,Mature,1-10,$1.3M,,,,,
ThirdEye Systems,Public,11-50,$10M,,,,,
Todos,Mature,1-10,Undisclosed,,,,,
Top Car Armoring,Mature,1-10,Undisclosed,,,,,
TourEngine,Mature,11-50,$9.49M,2006,"Automotive, Climate Tech",514341858,https://www.tourengine.com,Tour Engine is developing a revolutionary opposed-cylinder split-cycle internal combustion engine that increases the engine efficiency by over 50% and drastically reduces emissions; based on standard cylinder/piston technology. The company designed and built an operating split-cycle TourEngine™ prot
TriEye,A,51-200,$96M,2017,"Automotive, Deep Tech, Industry 4.0, Machine Vision, Robotics",515721744,https://trieye.tech,"TriEye is a developer of short-wave infrared imaging systems, designed to save lives and reduce risks of accidents in all weather and lighting conditions. The company's semiconductor technology and products are used to accelerate pixel level in a camera, which solves the automotive low-visibility ch"
Tritone,Seed,11-50,$5M,,,,,
Tupaia,Seed,1-10,Undisclosed,2020,"Artificial Intelligence, Automotive, Cloud, Construction Tech, Deep Tech, Drones, IoT, Smart City, SpaceTech",516187481,https://www.tupaia-pos.com,"Tupaia specializes in high precision positioning solutions within the cloud computing industry. The company offers a cloud-based positioning service that integrates with GNSS receivers and provides accurate location data for various applications. Tupaia's services cater to sectors, such as telecommu"
UBQ Materials,D,51-200,$268.2M,,,,,
Unispectral,A,11-50,$14.3M,,,,,
Uppler,Mature,11-50,Undisclosed,,,,,
Upstream,C,51-200,$105M,2017,"Artificial Intelligence, Automotive, Big Data, Cloud, Cyber Security, Insurtech, IoT, Machine Learning, SaaS",515630713,https://upstream.auto,"Upstream delivers a cloud-based, AI-powered data management platform purpose-built for connected vehicles, smart mobility, and IoT ecosystem. The Upstream Platform transforms fragmented, distributed mobility data into centralized, structured, and contextualized data lakes, unlocking its full potenti"
V-HOLA,Pre-Seed,1-10,Undisclosed,2019,"Automotive, IoT, SaaS",516258894,https://www.v-hola.com,"VHOLA's technology is an in-vehicle solution enabling predictive maintenance of the vehicle's performance by detecting its magnetic and electromagnetic emissions throughout the vehicle's lifetime. It also takes active actions, taking into consideration local regulation aspects, cabin occupancy, pass"
Valerann,A,11-50,$24M,2016,"Artificial Intelligence, Automotive, Big Data, IoT, Smart City",515027282,https://www.valerann.com,"Valerann offers data-driven, intelligent traffic management systems using artificial intelligence (AI), data analytics and data fusion."
Vidisco,Mature,11-50,Undisclosed,,,,,
viisights,A,1-10,$21.2M,,,,,
Virtual Extension,Mature,1-10,Undisclosed,2000,"Automotive, Construction Tech, IoT, Smart City",512840448,http://www.virtual-extension.com,"Virtual Extension develops and manufactures wireless networks for IoT / M2M applications. These include smart lighting control (street, highway and indoor), smart metering (electricity, water, gas and hybrid), as well as similar industrial, security and automotive applications that require robust an"
Virtual Spirits,Mature,1-10,Undisclosed,,,,,
Visionary.ai,Seed,11-50,$8M,2020,"Artificial Intelligence, Augmented Reality, Automotive, Deep Tech, Drones, IoT, Machine Learning, Robotics, Smart City",516288461,https://www.visionary.ai,Visionary.ai is a developer of a prediction-based image signal processor intended to make visual data capturing possible across all circumstances. The company's processor leverages artificial intelligence and computer vision technologies to improve the quality and detection of images and videos and 
Vtool,Mature,51-200,$2M,,,,,
White Raven,Seed,1-10,$3.5M,,,,,
XJet,Mature,51-200,$163.2M,2005,"Automotive, Deep Tech, Industry 4.0, IoT",513655233,https://xjet3d.com,"XJet is a provider of ground-breaking metal and ceramic additive manufacturing technologies and solutions. XJet developed and introduced the revolutionary NanoParticle Jetting™ technology. With a decade of research behind it, XJet NPJ technology enables the production of metal or ceramic parts with "
Xyte,A,51-200,$26.4M,,,,,
Yamar Electronics,Mature,1-10,Undisclosed,,,,,
Yous,Seed,1-10,Undisclosed,,,,,
VisIC,B,11-50,$92.6M,2010,Automotive,514467513,https://www.visic-tech.com,"VisIC is a developer of semiconductors, intended to provide voltage switches to the changing power conversion market. The company's gallium nitride-based transistors and switches exhibit better advantages in all power applications across the switching frequencies from several Hz to large amount of G"
Addionics,B,51-200,$73M,2017,"Artificial Intelligence, Automotive, Climate Tech, Deep Tech, Impact",515771194,https://www.addionics.com,"Addionics' core technology is based on the development of smart metals and 3D current collectors for lithium-ion batteries, replacing flat metal sheets with an advanced porous structure. This structural change improves current conduction within the cell, enables more efficient heat dissipation, exte"
Arbe Robotics,Public,51-200,$266M,2015,"Automotive, Deep Tech",515333128,http://www.arberobotics.com,"Arbe, a global leader in Perception Radar solutions, is spearheading a radar revolution, enabling safe driver-assist systems today while paving the way to full autonomous-driving. Arbe’s radar technology is 100 times more detailed than any other radar on the market and is a critical sensor for L2+ a"
Foresight,Public,51-200,$43.03M,2015,"Artificial Intelligence, Automotive, Machine Vision",520036062,https://www.foresightauto.com,"Foresight's flagship product is QuadSight system, a multi-spectral computerized vision solution, based on two stereoscopic daylight cameras and two long-wave thermal infrared cameras. Designed as the central vision system for autonomous and semi-autonomous vehicles, the system is capable of detectin"
Foretellix,C,51-200,$135.14M,2017,"Artificial Intelligence, Automotive, Generative AI, Insurtech",514453794,https://www.foretellix.com,"Foretellix is the leading enabler of safe autonomous vehicles. Its Foretify Physical AI toolchain accelerates the training, validation and safety evaluation of autonomous vehicles, making AI safe for the physical world.
 Foretellix empowers OEMs and AV developers to build next-generation AV technolo"
Jungo,Public,11-50,$11.5M,2013,"Artificial Intelligence, Automotive, Deep Tech, Insurtech, Machine Learning, Machine Vision",514663335,https://jungo.com,"Jungo is a leader in fleet safety technology, dedicated to reducing risks and enhancing road safety through AI innovation. Its flagship product, VuDrive, offers advanced driver monitoring with real-time alerts, in-cab dual camera, location and telematics information, and comprehensive risk analysis "
MOTOMEA,Mature,11-50,Undisclosed,,,,,
Rider Dome,Seed,11-50,$3.8M,2021,"Artificial Intelligence, Automotive",,https://www.riderdome.com,Rider Dome is a Computer Vision AI based collision alert system providing motorcycle riders with real-time alerts against critical threats on the road to prevent accidents before they happen.
TankU,Seed,1-10,$8M,2014,"Artificial Intelligence, Automotive, FinTech",515143394,https://www.tanku.com,"TankU is a technology and services company, committed to bringing the best possible technology to the gas service stations industry. TankU's innovative fully-automated fueling app improves customer satisfaction and increases company's loyal customer base."
3DBattery,Seed,11-50,$5.32M,2017,"Automotive, Climate Tech",515439354,https://www.3dbattery.co.il,"3DBattery's technology versatility and product innovation for Li-ion batteries is proposed as a step-change in the energy and power per volume and per weight of rechargeable batteries for a wide range of applications, from small electronic devices to transportation (EV) and energy GRID storage. Base"
634 AI,Seed,1-10,Undisclosed,,,,,
AD Knight,Seed,1-10,$2.91M,2018,"Automotive, IoT, Smart City",515898567,https://www.ad-knight.com,"AD Knight solution improves pedestrian safety in obscured and low visibility scenarios, where common ADAS systems often fail to detect. With 360˚ coverage, AD Knight sensors detect pedestrians’ personal devices, estimate their distance from the vehicle, and therefore enhance and complement the ADAS "
ADASKY,B,51-200,$85M,2015,"Artificial Intelligence, Automotive, Deep Tech, Digital Health, Machine Vision, Smart City",515312304,https://www.adasky.com,"ADASKY is a developer of an advanced thermal sensing technology, designed to increase the safety and performance of self-driven vehicles. The company's system combines a far infrared thermal camera with advanced machine vision algorithms that sense and analyze its surroundings by passively collectin"
Anachoic,Seed,1-10,$3.05M,2018,"Artificial Intelligence, Automotive",515877884,https://www.anachoic.com,Anachoic specializes in the development of Advanced Rider Assistance Systems (ARAS) for the Powered Two-Wheeler market. The company’s micro-radar platform provides riders with real-time 360◦ protection via its patented spatial audio HMI.
Apollo Power,Public,51-200,$414.28K,2014,"Automotive, Blockchain, Climate Tech, Drones, FinTech, SpaceTech",520043928,https://www.apollo-power.com,Apollo Power is a company focused on the development and manufacturing of solar energy solutions in the renewable energy sector. The company's main offerings include lightweight and flexible solar films that can transform any surface into an energy source. Apollo Power primarily serves the automotiv
Aquarius Engines,Public,11-50,$126.28M,2014,"Automotive, IoT",515114429,https://www.aquariusengines.com,"Aquarius Engines is a clean-tech / energy company developing and manufacturing small-scale power generation engines and generators. The company's core technology is a two-sided free-piston linear engine (FPLE), which converts fuel combustion into electric power with fewer moving parts, aiming for hi"
Aurora Labs,C,51-200,$97.5M,,,,,
Autobrains,C,51-200,$131.4M,2019,"Artificial Intelligence, Automotive",515928109,https://autobrains.ai,"Autobrains is a leading AI mobility company, radically rethinking AI for the safest route from ADAS to full autonomy. Revolutionizing how deep learning is applied, Autobrains’ patented self-learning and signature-based AI is a new approach to perception, closing the technology gaps toward the safest"
AxonPulse,Seed,11-50,$4.6M,,,,,
Blitz Motors,Public,11-50,$10.47M,,,,,
BNC Systems,Mature,1-10,Undisclosed,,,,,
BQR Reliability,Mature,11-50,Undisclosed,1989,"Automotive, DevOps, Industry 4.0, IoT",511359127,http://www.bqr.com,"Established in 1989, BQR provides Reliability, Availability, Maintenance and Safety tools (RAMS), Integrated Logistic Support (ILS), consulting services and software tools. Over the years BQR has successfully completed thousands of projects for major customers around the world."
Bright Way Vision,Mature,11-50,$25M,,,,,
Bringoz,A,51-200,Undisclosed,2016,"Automotive, RetailTech",515317360,https://www.bringoz.com,"Bringoz is a technology platform for logistics management, streamlining the logistics processes in general and the last-mile in particular, Bringoz provides its customers with a robust infrastructure enabling them to compete in today's demand-driven landscape."
Brodmann17,A,1-10,$19.39M,,,,,
CARRAR,A,11-50,$9.9M,2019,Automotive,516024825,https://carrar.net,"Carrar is a developer of battery modules with an internal thermal management system, designed for any EV from commercial fleets, buses and trucks to sports cars and professional race cars. The company's system, which is integrated into the battery system, dissipates and adjusts heat uniformly across"
CENS Materials,A,1-10,$7.16M,2005,"Automotive, Climate Tech",,https://www.cenh2.com,"C.En uses hollow glass fibers to make a hydrogen storage system that is free in shape, safe, low weight and features a quick refueling process. Their technology demonstrates the feasibility of using hydrogen for transportation, electronics, and military applications."
Charging,Public,1-10,Undisclosed,2021,"Automotive, Climate Tech, Robotics",516333671,https://www.chargingrobotics.com,"Charging Robotics develops various products based on wireless charging. A robotic system for wireless charging of EV. Once parked, the driver will initiate charging by use of a simple smart phone app. The autonomous robot will navigate under the vehicle and automatically charge it. By use of the rob"
CipherSiP,Seed,1-10,$4M,2018,"Automotive, Cyber Security, Industry 4.0, IoT",515863157,https://ciphersip.com,"CipherSiP is the only company that increases the bandwidth over existing protocols and protects vehicles from cyber attacks without changing the original protocols and Standards (i.e. CAN, CAN-FD/XL, LIN, SCADA). The company's novel approach uses Watermarked Communications™ Technology to create an i"
Cipia Vision,Public,51-200,$80.39M,,,,,
Click-Ins,B,11-50,$16.5M,2014,"Artificial Intelligence, Automotive, FinTech, Generative AI, Insurtech, Machine Learning",515130359,https://www.click-ins.com,"Click-Ins is a rapidly growing, next-generation AI SaaS vehicle inspection platform. 
 Click-Ins is dedicated to transforming time-consuming, costly, manual inspections into one digitized, automated, consistent and streamlined, near real-time process, without the need for special equipment or skille"
Eye-Net Mobile,Seed,11-50,$2.1M,2013,"Artificial Intelligence, Automotive, IoT, Smart City",514969104,https://www.mobilityinsight.net,"MobilityInsight is developing cost effective and innovative end to end solution that includes mesh network of smart edge sensors for detecting RF signals of IOT, video analytics, I2V and other sensing technologies, combined with powerful server side analytics to support realtime multi-modal (private"
InnerEye,Seed,11-50,Undisclosed,,,,,
Alango,Mature,11-50,Undisclosed,,,,,
